User-ID,ISBN,Rating,Title,Author,Year,Publisher,Age
2313,0812533550,9,Ender's Game (Ender Wiggins Saga (Paperback)),Orson Scott Card,1986,Tor Books,23
2313,0060173289,9,Divine Secrets of the Ya-Ya Sisterhood : A Novel,Rebecca Wells,1996,HarperCollins,23
2313,0399146431,5,The Bonesetter's Daughter,Amy Tan,2001,Putnam Publishing Group,23
2313,0345348036,9,The Princess Bride: S Morgenstern's Classic Tale of True Love and High Adventure,WILLIAM GOLDMAN,1987,Del Rey,23
2313,0449912558,0,The Sparrow,MARY DORIA RUSSELL,1997,Fawcett Books,23
2313,0375706771,0,Midwives: A Novel,Chris Bohjalian,1998,Vintage,23
2313,0399141146,3,The Hundred Secret Senses,Amy Tan,1995,Putnam Pub Group,23
2313,0452260116,9,Song of Solomon (Oprah's Book Club (Paperback)),Toni Morrison,1987,Plume Books,23
6543,0316666343,0,The Lovely Bones: A Novel,Alice Sebold,2002,"Little, Brown",34
6543,0385504209,0,The Da Vinci Code,Dan Brown,2003,Doubleday,34
6543,0971880107,0,Wild Animus,Rich Shapero,2004,Too Far,34
6543,0312966970,0,Four To Score (A Stephanie Plum Novel),Janet Evanovich,1999,St. Martin's Paperbacks,34
6543,0446605484,10,Roses Are Red (Alex Cross Novels),James Patterson,2001,Warner Vision,34
6543,0446611212,0,Violets Are Blue,James Patterson,2002,Warner Vision,34
6543,0609804138,0,The Sweet Potato Queens' Book of Love,JILL CONNER BROWNE,1999,Three Rivers Press,34
6543,0805062971,8,Fight Club,Chuck Palahniuk,1999,Owl Books,34
6543,0345342968,8,Fahrenheit 451,RAY BRADBURY,1987,Del Rey,34
6543,0446610038,9,1st to Die: A Novel,James Patterson,2002,Warner Vision,34
6543,0312195516,0,The Red Tent (Bestselling Backlist),Anita Diamant,1998,Picador USA,34
6543,0670894494,0,The Passion of Artemisia,Susan Vreeland,2002,Viking Books,34
6543,0061009059,8,One for the Money (Stephanie Plum Novels (Paperback)),Janet Evanovich,1995,HarperTorch,34
6543,0142001740,9,The Secret Life of Bees,Sue Monk Kidd,2003,Penguin Books,34
6543,0312966091,0,Three To Get Deadly : A Stephanie Plum Novel (A Stephanie Plum Novel),Janet Evanovich,1998,St. Martin's Paperbacks,34
6543,0316168688,0,The Dogs of Babel (Today Show Book Club #12),Carolyn Parkhurst,2003,"Little, Brown",34
6543,0316602051,0,The Jester,James Patterson,2003,"Little, Brown",34
6543,0316777730,0,Naked,David Sedaris,1998,Back Bay Books,34
